movie_name,year,genres,rating
Project Wolf Hunting,2022,"Action, Crime, Horror",6.1
The Invisible Guest,2016,"Crime, Drama, Mystery",8.0
Natural Born Killers,1994,"Action, Crime, Drama",7.2
The Girl on the Train,2016,"Crime, Drama, Mystery",6.5
A Life Less Ordinary,1997,"Comedy, Crime, Fantasy",6.3
Goodnight Mommy,2022,"Crime, Drama, Horror",5.6
The Blues Brothers,1980,"Action, Adventure, Comedy",7.9
The Killer,2023,"Action, Adventure, Crime",
Faster,2010,"Action, Crime, Drama",6.4
Red Dragon,2002,"Crime, Drama, Thriller",7.2
Logan Lucky,2017,"Action, Comedy, Crime",7.0
It's a Mad Mad Mad Mad World,1963,"Action, Adventure, Comedy",7.5
War Dogs,2016,"Biography, Comedy, Crime",7.1
Body Heat,1981,"Crime, Drama, Romance",7.4
A Bronx Tale,1993,"Crime, Drama",7.8
Don't Breathe,2016,"Crime, Horror, Thriller",7.1
The Unforgivable,2021,"Crime, Drama",7.1
The Crow,1994,"Action, Crime, Drama",7.5
Gangs of Wasseypur,2012,"Action, Comedy, Crime",8.2
Southpaw,2015,"Action, Crime, Drama",7.3
Side Effects,2013,"Crime, Drama, Mystery",7.1
Fruitvale Station,2013,"Biography, Crime, Drama",7.5
The Basketball Diaries,1995,"Biography, Crime, Drama",7.3
22 Jump Street,2014,"Action, Comedy, Crime",7.0
What Happened to Monday,2017,"Action, Crime, Fantasy",6.8
Burn After Reading,2008,"Comedy, Crime, Drama",7.0
3:10 to Yuma,2007,"Action, Crime, Drama",7.7
Falling Down,1993,"Action, Crime, Drama",7.6
To Kill a Mockingbird,1962,"Crime, Drama",8.3
Broken City,2013,"Action, Crime, Drama",6.1
The Longest Yard,1974,"Comedy, Crime, Drama",7.1
Running Scared,2006,"Action, Crime, Drama",7.3
American Murderer,2022,"Crime, Drama, Thriller",5.0
Desperado,1995,"Action, Crime, Thriller",7.1
Austin Powers: The Spy Who Shagged Me,1999,"Action, Adventure, Comedy",6.6
The Untouchables,1987,"Crime, Drama, Thriller",7.8
The Long Good Friday,1980,"Crime, Drama, Mystery",7.6
Adventures in Babysitting,1987,"Adventure, Comedy, Crime",6.9
Solace,2015,"Crime, Drama, Mystery",6.4
Kate,2021,"Action, Adventure, Crime",6.2
No Sudden Move,2021,"Crime, Drama, Mystery",6.4
RocknRolla,2008,"Action, Crime, Thriller",7.2
Boyz n the Hood,1991,"Crime, Drama",7.8
Home Sweet Hell,2015,"Comedy, Crime, Thriller",5.5
Just Mercy,2019,"Biography, Crime, Drama",7.6
Captain Phillips,2013,"Action, Biography, Crime",7.8
Wild at Heart,1990,"Comedy, Crime, Drama",7.2
Out of the Furnace,2013,"Action, Crime, Drama",6.7
Snake Eyes,2021,"Action, Adventure, Crime",5.4
Hannie Caulder,1971,"Crime, Drama, Western",6.3
Minions,2015,"Animation, Adventure, Comedy",6.4
Green Room,2015,"Crime, Drama, Horror",7.0
Lucky Number Slevin,2006,"Crime, Drama, Thriller",7.7
Spring Breakers,2012,"Crime, Drama, Thriller",5.3
S.W.A.T.,2003,"Action, Adventure, Crime",6.0
Pineapple Express,2008,"Action, Comedy, Crime",6.9
Savages,2012,"Action, Crime, Drama",6.4
I Saw the Devil,2010,"Action, Crime, Drama",7.8
Point Break,2015,"Action, Adventure, Crime",5.3
Beverly Hills Cop: Axel Foley,,"Action, Comedy, Crime",
Monster,2003,"Biography, Crime, Drama",7.3
Lethal Weapon 2,1989,"Action, Crime, Thriller",7.2
Dog Pound,2010,"Crime, Drama",7.0
Lawless,2012,"Biography, Crime, Drama",7.2
Mississippi Burning,1988,"Crime, Drama, Mystery",7.8
Rush Hour,1998,"Action, Comedy, Crime",7.0
Lolita,1962,"Crime, Drama, Romance",7.5
Midnight Express,1978,"Biography, Crime, Drama",7.5
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",7.7
The Hate U Give,2018,"Crime, Drama",7.5
Risky Business,1983,"Comedy, Crime, Drama",6.8
Black Mass,2015,"Biography, Crime, Drama",6.9
Batman Returns,1992,"Action, Crime, Fantasy",7.1
Airheads,1994,"Comedy, Crime, Music",6.1
November,2022,"Crime, Drama, Thriller",7.0
Widows,2018,"Crime, Drama, Thriller",6.8
End of Watch,2012,"Action, Adventure, Crime",7.6
Fletch,1985,"Comedy, Crime, Mystery",6.9
Run Hide Fight,2020,"Action, Crime, Drama",6.3
The Forever Purge,2021,"Action, Crime, Horror",5.4
The Card Counter,2021,"Crime, Drama, Thriller",6.2
My Name Is Vendetta,2022,"Action, Crime, Drama",5.5
Perfume: The Story of a Murderer,2006,"Crime, Drama, Fantasy",7.5
Bad Boys 4,,"Action, Adventure, Comedy",
Detective Knight: Independence,2023,"Action, Crime, Thriller",3.6
Eastern Promises,2007,"Crime, Drama, Thriller",7.6
The Hitman's Bodyguard,2017,"Action, Comedy, Crime",6.9
Chungking Express,1994,"Comedy, Crime, Drama",8.0
Megamind,2010,"Animation, Action, Comedy",7.3
Dogville,2003,"Crime, Drama",8.0
The Mexican,2001,"Adventure, Comedy, Crime",6.1
Perfect Blue,1997,"Animation, Crime, Drama",8.0
The Woman in the Window,2020,"Crime, Drama, Mystery",5.7
Rambo: Last Blood,2019,"Action, Crime, Thriller",6.1
The Cell,2000,"Crime, Horror, Sci-Fi",6.4
Fallen,1998,"Action, Crime, Drama",7.0
Bad Boys,1983,"Crime, Drama, Thriller",7.2
Glengarry Glen Ross,1992,"Crime, Drama, Mystery",7.7
Georgetown,2019,"Biography, Crime, Drama",6.2
Smokin' Aces,2006,"Action, Comedy, Crime",6.6
Four Brothers,2005,"Action, Crime, Drama",6.8
Manhunter,1986,"Crime, Mystery, Thriller",7.2
Blow,2001,"Biography, Crime, Drama",7.5
The Pledge,2001,"Crime, Drama, Mystery",6.8
Gone in 60 Seconds,2000,"Action, Crime, Thriller",6.5
Inferno,2016,"Action, Adventure, Crime",6.2
Escape from Alcatraz,1979,"Action, Biography, Crime",7.6
Stillwater,2021,"Crime, Drama, Thriller",6.6
The Pelican Brief,1993,"Crime, Drama, Mystery",6.6
Ghost in the Shell,2017,"Action, Crime, Drama",6.3
The Mule,2018,"Crime, Drama, Thriller",7.0
The Danish Girl,2015,"Biography, Crime, Drama",7.1
Deja Vu,2006,"Action, Crime, Sci-Fi",7.1
The Punisher,2004,"Action, Crime, Drama",6.4
Felon,2008,"Crime, Thriller",7.4
Shot Caller,2017,"Crime, Drama, Thriller",7.3
I Care a Lot,2020,"Comedy, Crime, Drama",6.3
The Informer,2019,"Action, Crime, Drama",6.6
Wall Street,1987,"Crime, Drama",7.3
The Client,1994,"Crime, Drama, Mystery",6.7
Dirty Harry,1971,"Action, Crime, Thriller",7.7
In the Shadow of the Moon,2019,"Action, Crime, Mystery",6.2
Blackhat,2015,"Action, Crime, Thriller",5.4
Dredd,2012,"Action, Crime, Sci-Fi",7.1
Public Enemies,2009,"Action, Biography, Crime",7.0
Gunpowder Milkshake,2021,"Action, Crime, Thriller",6.0
The Highwaymen,2019,"Biography, Crime, Drama",6.9
Texas Chainsaw Massacre,2022,"Crime, Horror, Thriller",4.7
Striptease,1996,"Comedy, Crime, Drama",4.5
The Guard,2011,"Comedy, Crime, Thriller",7.3
Funny Games,2007,"Crime, Drama, Thriller",6.5
Kimi,2022,"Crime, Drama, Thriller",6.3
The Snowman,2017,"Crime, Drama, Thriller",5.1
Donnie Brasco,1997,"Biography, Crime, Drama",7.7
Dressed to Kill,1980,"Crime, Drama, Mystery",7.1
Miss Congeniality,2000,"Action, Comedy, Crime",6.3
Sin City: A Dame to Kill For,2014,"Action, Crime, Thriller",6.5
Bound,1996,"Crime, Thriller",7.3
Super Troopers,2001,"Comedy, Crime, Mystery",7.0
Tell No One,2006,"Crime, Drama, Mystery",7.5
In the Bedroom,2001,"Crime, Drama",7.4
3096 Tage,2013,"Biography, Crime, Drama",6.5
Good Time,2017,"Crime, Drama, Thriller",7.3
Silverado,1985,"Action, Crime, Drama",7.2
R.I.P.D.,2013,"Action, Adventure, Comedy",5.6
Vikram Vedha,2022,"Action, Crime, Drama",7.1
